tilt,key_resp.keys,key_resp.corr,,hit ,miss,false alarm,correct rejection,,,,,,,,,,,,,,,,,
2,up,0,,,1,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,Respond YES,Respond NO,,,,
0,down,0,,,1,,,,,,,,,,,,,Signal Present,Hit,Miss,,,prop hit= hit/hit+miss,0.577235772
0,up,1,,1,,,,,,,,,,,,,,Signal Absent,False Alarm,Correct Rejection ,,,prop fa= fa/fa+ corr rejec,0
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,Respond YES,Respond NO,,,,
-2,down,1,,,,,1,,,,,,,,,,,Signal Present,71,52,,,d-prime= z(prop hit) -z(prop fa),0.194826908
0,down,0,,,1,,,,,,,,,,,,,Signal Absent,0,76,,,c= -z(prop hit)+ z(prop fa)/2,-0.097413454
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
2,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
3,up,0,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,up,0,,,1,,,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-2,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
3,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,up,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,up,0,,,1,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-2,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
1,up,0,,,1,,,,,,,,,,,,,,,,,,,
-1,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
4,up,0,,,1,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
3,up,0,,,1,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
2,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-1,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
1,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
0,up,1,,1,,,,,,,,,,,,,,,,,,,,
-3,down,1,,,,,1,,,,,,,,,,,,,,,,,
-5,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
-4,down,1,,,,,1,,,,,,,,,,,,,,,,,
0,down,0,,,1,,,,,,,,,,,,,,,,,,,
,,,,71,52,0,76,,,,,,,,,,,,,,,,,
